state_sigla,city,localizador,latitud,longitud
SP,sao jose do rio pardo,"sao jose do rio pardo SP, Brazil",-21.595288,-46.887303
SP,mococa,"mococa SP, Brazil",-21.464731,-47.002405
SP,igarai,"igarai SP, Brazil",-21.41411065,-46.833917075
SP,sao benedito das areias,"sao benedito das areias SP, Brazil",-21.33067455,-47.072956127001305
SP,tapiratiba,"tapiratiba SP, Brazil",-21.46824,-46.7493221
SP,caconde,"caconde SP, Brazil",-21.5281123,-46.6434015
SP,divinolandia,"divinolandia SP, Brazil",-21.6604584,-46.7371151
SP,sao sebastiao da grama,"sao sebastiao da grama SP, Brazil",-21.7118854,-46.8284162
SP,mogi mirim,"mogi mirim SP, Brazil",-22.433123,-46.958246
SP,jaguariuna,"jaguariuna SP, Brazil",-22.70374,-46.985062
SP,holambra,"holambra SP, Brazil",-22.6332028,-47.0545305
SP,santo antonio de posse,"santo antonio de posse SP, Brazil",-22.6054087,-46.9210727
SP,conchal,"conchal SP, Brazil",-22.337512,-47.172927
SP,mogi guacu,"mogi guacu SP, Brazil",-22.372222,-46.9425
SP,mogi guaçu,"mogi guaçu SP, Brazil",-22.372222,-46.9425
SP,martinho prado junior,"martinho prado junior SP, Brazil",-22.234979600000003,-47.17493598177646
SP,estiva gerbi,"estiva gerbi SP, Brazil",-22.2742719,-46.9523302
SP,aguai,"aguai SP, Brazil",-22.0592036,-46.979384
SP,sao joao da boa vista,"sao joao da boa vista SP, Brazil",-21.9778137,-46.7881722
SP,vargem grande do sul,"vargem grande do sul SP, Brazil",-21.832194,-46.891286
SP,aguas da prata,"aguas da prata SP, Brazil",-21.9464285,-46.7192121
SP,sao roque da fartura,"sao roque da fartura SP, Brazil",-21.84769445,-46.718023310491176
SP,amparo,"amparo SP, Brazil",-22.70111,-46.76444
SP,jaguariúna,"jaguariúna SP, Brazil",-22.70374,-46.985062
SP,pedreira,"pedreira SP, Brazil",-22.741347,-46.894846
SP,serra negra,"serra negra SP, Brazil",-22.61222,-46.70056
SP,aguas de lindoia,"aguas de lindoia SP, Brazil",-22.4718855,-46.6291034
SP,lindoia,"lindoia SP, Brazil",-22.523056,-46.65
SP,socorro,"socorro SP, Brazil",-22.5902619,-46.5249112
SP,itapira,"itapira SP, Brazil",-22.436111,-46.821667
SP,barao ataliba nogueira,"barao ataliba nogueira SP, Brazil",-22.38608445,-46.7189683825
SP,eleuterio,"eleuterio SP, Brazil",-22.33300375,-46.725303325948275
SP,espirito santo do pinhal,"espirito santo do pinhal SP, Brazil",-22.190871,-46.74767
SP,santo antonio do jardim,"santo antonio do jardim SP, Brazil",-22.1158536,-46.6839541
SP,ribeirão preto,"ribeirão preto SP, Brazil",-21.178333,-47.8066671
SP,ribeirao preto,"ribeirao preto SP, Brazil",-21.178333,-47.8066671
SP,bonfim paulista,"bonfim paulista SP, Brazil",-21.2639857,-47.8168874
SP,guatapara,"guatapara SP, Brazil",-21.496092,-48.0360685
SP,dumont,"dumont SP, Brazil",-21.2391417,-47.9747665
SP,cravinhos,"cravinhos SP, Brazil",-21.340278,-47.729444
SP,serrana,"serrana SP, Brazil",-21.2066883,-47.6053774
SP,sertaozinho,"sertaozinho SP, Brazil",-21.1614356,-47.9720115
SP,pontal,"pontal SP, Brazil",-21.0239714,-48.0393457
SP,candia,"candia SP, Brazil",-20.9297062,-48.00921787315389
SP,sao simao,"sao simao SP, Brazil",-21.4800208,-47.5531095
SP,luis antonio,"luis antonio SP, Brazil",-21.55,-47.78008333333334
SP,são simão,"são simão SP, Brazil",-21.4800208,-47.5531095
SP,serra azul,"serra azul SP, Brazil",-21.3132591,-47.5635821
SP,cajuru,"cajuru SP, Brazil",-21.2759978,-47.3046035
SP,santa cruz da esperanca,"santa cruz da esperanca SP, Brazil",-21.2918648,-47.4309885
SP,cassia dos coqueiros,"cassia dos coqueiros SP, Brazil",-21.280082,-47.164327
SP,santa rosa de viterbo,"santa rosa de viterbo SP, Brazil",-21.4869452,-47.3654908
SP,batatais,"batatais SP, Brazil",-20.892867,-47.592149
SP,brodowski,"brodowski SP, Brazil",-20.984532,-47.657217
SP,altinopolis,"altinopolis SP, Brazil",-21.021364,-47.3712
SP,santo antonio da alegria,"santo antonio da alegria SP, Brazil",-21.0893048,-47.1523426
SP,franca,"franca SP, Brazil",-20.5296618,-47.4699819
SP,patrocinio paulista,"patrocinio paulista SP, Brazil",-20.6383609,-47.2801241
SP,itirapua,"itirapua SP, Brazil",-20.6406814,-47.2193817
SP,restinga,"restinga SP, Brazil",-20.605593,-47.483254
SP,sao jose da bela vista,"sao jose da bela vista SP, Brazil",-20.5934194,-47.6416942
SP,ribeirao corrente,"ribeirao corrente SP, Brazil",-20.457872,-47.590394
SP,jeriquara,"jeriquara SP, Brazil",-20.3104773,-47.5915669
SP,cristais paulista,"cristais paulista SP, Brazil",-20.403569,-47.420915
SP,pedregulho,"pedregulho SP, Brazil",-20.25071,-47.4808786
SP,rifaina,"rifaina SP, Brazil",-20.080256,-47.429109
SP,ituverava,"ituverava SP, Brazil",-20.3366604,-47.7797924
SP,sao benedito da cachoeirinha,"sao benedito da cachoeirinha SP, Brazil",-20.24941765,-47.889392625
SP,miguelopolis,"miguelopolis SP, Brazil",-20.179612,-48.030997
SP,igarapava,"igarapava SP, Brazil",-20.0411748,-47.7476682
SP,aramina,"aramina SP, Brazil",-20.0876144,-47.789201
