localizador,longitud
"lucelia SP, Brazil",-51.0188
"pracinha SP, Brazil",-51.0862052
"mariapolis SP, Brazil",-51.1831475
"florida paulista SP, Brazil",-51.1729548
"pacaembu SP, Brazil",-51.2633114
"flora rica SP, Brazil",-51.3804532
"irapuru SP, Brazil",-51.3494606
"junqueiropolis SP, Brazil",-51.4351505
"dracena SP, Brazil",-51.5334408
"jamaica SP, Brazil",-51.6268714125
"ouro verde SP, Brazil",-51.7025981
"tupi paulista SP, Brazil",-51.5763259
"santa mercedes SP, Brazil",-51.7534
"nova guataporanga SP, Brazil",-51.6465874
"monte castelo SP, Brazil",-51.5686963
"sao joao do pau d alho SP, Brazil",-51.6654978
"panorama SP, Brazil",-51.8572739
"pauliceia SP, Brazil",-51.8316259
"sorocaba SP, Brazil",-47.4582864
"votorantim SP, Brazil",-47.4422496
"mairinque SP, Brazil",-47.1846323
"aluminio SP, Brazil",-47.2575256
"sao roque SP, Brazil",-47.1355473
"aracariguama SP, Brazil",-47.0613084
"ibiuna SP, Brazil",-47.220856
"paruru SP, Brazil",-47.31823050898912
"salto de pirapora SP, Brazil",-47.5729465
"piedade SP, Brazil",-47.4252319
"tapirai SP, Brazil",-47.5067136
"pilar do sul SP, Brazil",-47.7201865
"aracoiaba da serra SP, Brazil",-47.6168158
"capela do alto SP, Brazil",-47.7352309
"itapetininga SP, Brazil",-48.048326
"conceição SP, Brazil",-46.641295
"rechan SP, Brazil",-48.3171408
"gramadinho SP, Brazil",-48.12623827647059
"alambari SP, Brazil",-47.897971
"sarapui SP, Brazil",-47.824863
"sao miguel arcanjo SP, Brazil",-47.9963492
"angatuba SP, Brazil",-48.4110675
"campina do monte alegre SP, Brazil",-48.4801876
"guarei SP, Brazil",-48.184685
"quadra SP, Brazil",-48.054657
"porangaba SP, Brazil",-48.119464
"torre de pedra SP, Brazil",-48.1941034
"tatui SP, Brazil",-47.848026
"cesario lange SP, Brazil",-47.954453
"buri SP, Brazil",-48.598924
"capao bonito SP, Brazil",-48.3489848
"guapiara SP, Brazil",-48.529549
"ribeirao grande SP, Brazil",-48.367931
"apiai SP, Brazil",-48.8461582
"barra do chapeu SP, Brazil",-49.023784
"iporanga SP, Brazil",-48.594028
"itaoca SP, Brazil",-48.8410159
"ribeira SP, Brazil",-49.0086372
"itapirapua paulista SP, Brazil",-49.1703846
"itapeva SP, Brazil",-48.8803886
"guarizinho SP, Brazil",-48.88130208333333
"taquarivai SP, Brazil",-48.7005328
