state_sigla,city,localizador,latitud
SP,estiva gerbi,"estiva gerbi SP, Brazil",-22.2742719
SP,aguai,"aguai SP, Brazil",-22.0592036
SP,sao joao da boa vista,"sao joao da boa vista SP, Brazil",-21.9778137
SP,vargem grande do sul,"vargem grande do sul SP, Brazil",-21.832194
SP,aguas da prata,"aguas da prata SP, Brazil",-21.9464285
SP,sao roque da fartura,"sao roque da fartura SP, Brazil",-21.84769445
SP,amparo,"amparo SP, Brazil",-22.70111
SP,jaguariúna,"jaguariúna SP, Brazil",-22.70374
SP,pedreira,"pedreira SP, Brazil",-22.741347
SP,serra negra,"serra negra SP, Brazil",-22.61222
SP,aguas de lindoia,"aguas de lindoia SP, Brazil",-22.4718855
SP,lindoia,"lindoia SP, Brazil",-22.523056
SP,socorro,"socorro SP, Brazil",-22.5902619
SP,itapira,"itapira SP, Brazil",-22.436111
SP,barao ataliba nogueira,"barao ataliba nogueira SP, Brazil",-22.38608445
SP,eleuterio,"eleuterio SP, Brazil",-22.33300375
SP,espirito santo do pinhal,"espirito santo do pinhal SP, Brazil",-22.190871
SP,santo antonio do jardim,"santo antonio do jardim SP, Brazil",-22.1158536
SP,ribeirão preto,"ribeirão preto SP, Brazil",-21.178333
SP,ribeirao preto,"ribeirao preto SP, Brazil",-21.178333
SP,bonfim paulista,"bonfim paulista SP, Brazil",-21.2639857
SP,guatapara,"guatapara SP, Brazil",-21.496092
SP,dumont,"dumont SP, Brazil",-21.2391417
SP,cravinhos,"cravinhos SP, Brazil",-21.340278
SP,serrana,"serrana SP, Brazil",-21.2066883
SP,sertaozinho,"sertaozinho SP, Brazil",-21.1614356
SP,pontal,"pontal SP, Brazil",-21.0239714
SP,candia,"candia SP, Brazil",-20.9297062
SP,sao simao,"sao simao SP, Brazil",-21.4800208
SP,luis antonio,"luis antonio SP, Brazil",-21.55
SP,são simão,"são simão SP, Brazil",-21.4800208
SP,serra azul,"serra azul SP, Brazil",-21.3132591
SP,cajuru,"cajuru SP, Brazil",-21.2759978
SP,santa cruz da esperanca,"santa cruz da esperanca SP, Brazil",-21.2918648
SP,cassia dos coqueiros,"cassia dos coqueiros SP, Brazil",-21.280082
SP,santa rosa de viterbo,"santa rosa de viterbo SP, Brazil",-21.4869452
SP,batatais,"batatais SP, Brazil",-20.892867
SP,brodowski,"brodowski SP, Brazil",-20.984532
SP,altinopolis,"altinopolis SP, Brazil",-21.021364
SP,santo antonio da alegria,"santo antonio da alegria SP, Brazil",-21.0893048
SP,franca,"franca SP, Brazil",-20.5296618
SP,patrocinio paulista,"patrocinio paulista SP, Brazil",-20.6383609
SP,itirapua,"itirapua SP, Brazil",-20.6406814
SP,restinga,"restinga SP, Brazil",-20.605593
SP,sao jose da bela vista,"sao jose da bela vista SP, Brazil",-20.5934194
SP,ribeirao corrente,"ribeirao corrente SP, Brazil",-20.457872
SP,jeriquara,"jeriquara SP, Brazil",-20.3104773
SP,cristais paulista,"cristais paulista SP, Brazil",-20.403569
SP,pedregulho,"pedregulho SP, Brazil",-20.25071
SP,rifaina,"rifaina SP, Brazil",-20.080256
SP,ituverava,"ituverava SP, Brazil",-20.3366604
SP,sao benedito da cachoeirinha,"sao benedito da cachoeirinha SP, Brazil",-20.24941765
SP,miguelopolis,"miguelopolis SP, Brazil",-20.179612
SP,igarapava,"igarapava SP, Brazil",-20.0411748
SP,aramina,"aramina SP, Brazil",-20.0876144
SP,buritizal,"buritizal SP, Brazil",-20.1933264
SP,guara,"guara SP, Brazil",-20.4290496
SP,pioneiros,"pioneiros SP, Brazil",-20.53332205
SP,sao joaquim da barra,"sao joaquim da barra SP, Brazil",-20.5814993
SP,ipua,"ipua SP, Brazil",-20.4441839
SP,orlandia,"orlandia SP, Brazil",-20.720278
SP,morro agudo,"morro agudo SP, Brazil",-20.7276692
SP,sales oliveira,"sales oliveira SP, Brazil",-20.769612
SP,nuporanga,"nuporanga SP, Brazil",-20.730877
SP,jardinopolis,"jardinopolis SP, Brazil",-21.0255126
SP,juruce,"juruce SP, Brazil",-21.07228735
SP,bebedouro,"bebedouro SP, Brazil",-20.949077
SP,taiuva,"taiuva SP, Brazil",-21.1238184
SP,taiacu,"taiacu SP, Brazil",-21.143144
SP,monte azul paulista,"monte azul paulista SP, Brazil",-20.90649
SP,severinia,"severinia SP, Brazil",-20.810753
SP,viradouro,"viradouro SP, Brazil",-20.8726051
SP,terra roxa,"terra roxa SP, Brazil",-20.787015
SP,pitangueiras,"pitangueiras SP, Brazil",-21.013203
SP,ibitiuva,"ibitiuva SP, Brazil",-20.9991677
SP,taquaral,"taquaral SP, Brazil",-21.07373
SP,colina,"colina SP, Brazil",-20.711443
SP,jaborandi,"jaborandi SP, Brazil",-20.6921079
SP,barretos,"barretos SP, Brazil",-20.5531437
SP,guaira,"guaira SP, Brazil",-20.3245873
SP,colombia,"colombia SP, Brazil",-20.1774291
SP,araraquara,"araraquara SP, Brazil",-21.7886713
SP,gaviao peixoto,"gaviao peixoto SP, Brazil",-21.8377536
SP,ibate,"ibate SP, Brazil",-21.9554092
SP,americo brasiliense,"americo brasiliense SP, Brazil",-21.7297099
SP,santa lucia,"santa lucia SP, Brazil",-21.6861811
SP,rincao,"rincao SP, Brazil",-21.5881095
SP,motuca,"motuca SP, Brazil",-21.5095864
SP,guariba,"guariba SP, Brazil",-21.35938
SP,pradopolis,"pradopolis SP, Brazil",-21.3597815
SP,barrinha,"barrinha SP, Brazil",-21.1898849
SP,jaboticabal,"jaboticabal SP, Brazil",-21.252037
SP,itapolis,"itapolis SP, Brazil",-21.5958368
SP,nova america,"nova america SP, Brazil",-21.50195935
SP,tapinas,"tapinas SP, Brazil",-21.44790035
SP,tabatinga,"tabatinga SP, Brazil",-21.7373768
SP,curupa,"curupa SP, Brazil",-21.685792300000003
SP,nova europa,"nova europa SP, Brazil",-21.7808203
SP,boa esperanca do sul,"boa esperanca do sul SP, Brazil",-21.9930206
SP,trabiju,"trabiju SP, Brazil",-22.0410733
SP,ibitinga,"ibitinga SP, Brazil",-21.75623
SP,borborema,"borborema SP, Brazil",-21.6212706
SP,novo horizonte,"novo horizonte SP, Brazil",-21.4674564
SP,sales,"sales SP, Brazil",-21.3418263
SP,irapua,"irapua SP, Brazil",-21.2791964
SP,sao jose do rio preto,"sao jose do rio preto SP, Brazil",-20.8125851
SP,s jose do rio preto,"s jose do rio preto SP, Brazil",-20.8125851
