zip_code_prefix,region_name,id_state,state_sigla,state_name,city,localizador,latitud,longitud
13170,Sudeste,35,SP,São Paulo,sumare,"sumare SP, Brazil",-22.8217964,-47.267105
13183,Sudeste,35,SP,São Paulo,hortolandia,"hortolandia SP, Brazil",-22.85833,-47.22
13190,Sudeste,35,SP,São Paulo,monte mor,"monte mor SP, Brazil",-22.945043,-47.312182
13220,Sudeste,35,SP,São Paulo,varzea paulista,"varzea paulista SP, Brazil",-23.2113889,-46.8283333
13230,Sudeste,35,SP,São Paulo,campo limpo paulista,"campo limpo paulista SP, Brazil",-23.207791,-46.788919
13240,Sudeste,35,SP,São Paulo,jarinu,"jarinu SP, Brazil",-23.0949649,-46.7148565
13250,Sudeste,35,SP,São Paulo,itatiba,"itatiba SP, Brazil",-22.9965861,-46.8412042
13260,Sudeste,35,SP,São Paulo,morungaba,"morungaba SP, Brazil",-22.88,-46.79167
13270,Sudeste,35,SP,São Paulo,valinhos,"valinhos SP, Brazil",-22.97056,-46.99583
13280,Sudeste,35,SP,São Paulo,vinhedo,"vinhedo SP, Brazil",-23.0298535,-46.9749847
13290,Sudeste,35,SP,São Paulo,louveira,"louveira SP, Brazil",-23.08639,-46.95056
13295,Sudeste,35,SP,São Paulo,itupeva,"itupeva SP, Brazil",-23.1531055,-47.0580347
13300,Sudeste,35,SP,São Paulo,itu,"itu SP, Brazil",-23.2638828,-47.298892
13315,Sudeste,35,SP,São Paulo,cabreuva,"cabreuva SP, Brazil",-23.3076663,-47.1324726
13319,Sudeste,35,SP,São Paulo,bom fim do bom jesus,"bom fim do bom jesus SP, Brazil",-23.30831575,-47.0246133249816
13320,Sudeste,35,SP,São Paulo,salto,"salto SP, Brazil",-23.1989983,-47.2913682
13330,Sudeste,35,SP,São Paulo,indaiatuba,"indaiatuba SP, Brazil",-23.09028,-47.21806
13350,Sudeste,35,SP,São Paulo,elias fausto,"elias fausto SP, Brazil",-23.0416538,-47.3718002
13355,Sudeste,35,SP,São Paulo,cardeal,"cardeal SP, Brazil",-23.07274425,-47.298411375
13360,Sudeste,35,SP,São Paulo,capivari,"capivari SP, Brazil",-22.9999295,-47.5031066
13370,Sudeste,35,SP,São Paulo,rafard,"rafard SP, Brazil",-23.0143559,-47.5306721
